Action,Query,Generation
greet,Greeting is a [MASK] behavior .,common [-1.9] social [-3.1] desirable [-3.3] polite [-3.5] normal [-3.7]
greet my enemy,Greeting my enemy is a [MASK] behavior .,rare [-2.0] common [-2.1] normal [-2.2] natural [-2.7] dangerous [-3.1]
greet my friend,Greeting my friend is a [MASK] behavior .,normal [-2.1] rare [-2.2] common [-2.4] natural [-2.8] strange [-3.0]
greet my guests,Greeting my guests is a [MASK] behavior .,common [-1.9] normal [-2.2] rare [-2.3] polite [-2.7] good [-3.3]
greet my boss,Greeting my boss is a [MASK] behavior .,rare [-1.9] normal [-1.9] common [-2.2] natural [-2.7] strange [-3.3]
love,Greeting is a [MASK] behavior .,common [-1.9] social [-3.1] desirable [-3.3] polite [-3.5] normal [-3.7]
love my colleagues,Greeting my colleagues is a [MASK] behavior .,normal [-1.9] common [-2.3] natural [-2.7] good [-2.7] rare [-2.9]
love my pet,Greeting my pet is a [MASK] behavior .,common [-2.2] rare [-2.2] normal [-2.3] natural [-2.6] strange [-3.3]
love myself,Greeting myself is a [MASK] behavior .,normal [-2.4] common [-2.5] natural [-2.5] rare [-2.7] good [-3.2]
love my work,Greeting my work is a [MASK] behavior .,normal [-2.6] common [-2.6] good [-2.7] natural [-2.8] rare [-3.2]
have a gun,Having a gun is a [MASK] behavior .,common [-1.9] normal [-2.6] dangerous [-2.6] natural [-3.4] typical [-3.6]
have a gun to kill people,Having a gun to kill people is a [MASK] behavior .,common [-1.9] dangerous [-2.2] normal [-2.4] bad [-3.0] natural [-3.4]
have a gun to defend myself,Having a gun to defend myself is a [MASK] behavior .,natural [-2.3] normal [-2.5] dangerous [-2.6] common [-2.7] bad [-3.1]
have a gun to hunt animals,Having a gun to hunt animals is a [MASK] behavior .,common [-1.7] natural [-2.4] dangerous [-2.9] normal [-3.3] good [-3.8]
apologize,Apologizing is a [MASK] behavior .,criminal [-2.6] common [-2.8] social [-3.1] normal [-3.3] prohibited [-3.6]
apologize to my girlfriend,Apologizing to my girlfriend is a [MASK] behavior .,normal [-1.9] common [-2.2] natural [-2.9] bad [-2.9] rude [-3.0]
apologize to a stranger,Apologizing to a stranger is a [MASK] behavior .,common [-2.0] normal [-2.1] criminal [-2.9] dangerous [-3.0] natural [-3.2]
apologize to my boyfriend,Apologizing to my boyfriend is a [MASK] behavior .,normal [-1.7] common [-2.2] bad [-2.9] natural [-3.0] rude [-3.1]
blame,Blaming is a [MASK] behavior .,common [-2.8] bad [-2.8] negative [-3.0] dangerous [-3.3] moral [-3.4]
blame the economy,Blaming the economy is a [MASK] behavior .,negative [-2.3] bad [-2.7] moral [-3.1] common [-3.2] criminal [-3.3]
blame the media,Blaming the media is a [MASK] behavior .,criminal [-2.3] common [-2.6] dangerous [-3.1] bad [-3.1] negative [-3.2]
blame a child,Blaming a child is a [MASK] behavior .,criminal [-2.4] dangerous [-2.7] bad [-2.7] common [-3.0] negative [-3.2]
blame others,Blaming others is a [MASK] behavior .,bad [-2.6] dangerous [-3.0] common [-3.0] negative [-3.1] criminal [-3.1]
blame my friends,Blaming my friends is a [MASK] behavior .,common [-2.2] bad [-2.2] natural [-2.9] normal [-3.0] good [-3.1]
blame the government,Blaming the government is a [MASK] behavior .,criminal [-2.4] common [-2.4] bad [-2.5] dangerous [-2.9] good [-3.6]
compliment,Complimenting is a [MASK] behavior .,social [-2.7] behavioral [-3.0] natural [-3.2] cognitive [-3.4] specific [-4.0]
compliment to a stranger,Complimenting to a stranger is a [MASK] behavior .,natural [-2.0] common [-2.5] normal [-2.6] dangerous [-2.9] good [-3.7]
compliment to my date,Complimenting to my date is a [MASK] behavior .,natural [-2.2] normal [-2.2] common [-2.4] rare [-3.0] strange [-3.3]
compliment to a serial killer,Complimenting to a serial killer is a [MASK] behavior .,common [-2.5] criminal [-2.6] dangerous [-2.7] natural [-2.7] normal [-2.9]
waste,Wasting is a [MASK] behavior .,common [-2.3] dangerous [-3.0] criminal [-3.2] natural [-3.2] normal [-3.4]
waste energy,Wasting energy is a [MASK] behavior .,physiological [-3.5] natural [-3.5] behavioral [-3.6] social [-3.7] desirable [-3.9]
waste water,Wasting water is a [MASK] behavior .,common [-1.9] defensive [-3.0] dangerous [-3.1] natural [-3.6] protective [-3.7]
waste money,Wasting money is a [MASK] behavior .,criminal [-1.1] common [-2.5] dangerous [-3.1] risky [-3.6] prohibited [-3.8]
waste time,Wasting time is a [MASK] behavior .,common [-2.0] normal [-3.2] dangerous [-3.5] criminal [-3.6] good [-3.8]
acknowledge,Acknowledging is a [MASK] behavior .,social [-2.7] common [-2.7] behavioral [-3.6] criminal [-3.7] desirable [-3.7]
acknowledge my coworkers,Acknowledging my coworkers is a [MASK] behavior .,common [-1.8] rare [-2.3] normal [-2.3] natural [-2.4] strange [-3.4]
acknowledge related works,Acknowledging related works is a [MASK] behavior .,common [-3.0] useful [-3.6] specific [-3.7] positive [-4.0] new [-4.0]
acknowledge the reviewers,Acknowledging the reviewers is a [MASK] behavior .,common [-1.7] normal [-2.6] natural [-3.1] good [-3.3] typical [-3.3]
torture,Torturing is a [MASK] behavior .,criminal [-2.4] dangerous [-2.4] common [-3.2] violent [-3.3] destructive [-3.4]
torture people,Torturing people is a [MASK] behavior .,criminal [-0.8] dangerous [-2.0] common [-3.0] violent [-3.4] prohibited [-4.3]
torture my friend,Torturing my friend is a [MASK] behavior .,common [-1.9] dangerous [-2.1] criminal [-3.0] natural [-3.2] bad [-3.6]
torture prisoners,Torturing prisoners is a [MASK] behavior .,criminal [-1.1] common [-1.6] dangerous [-2.1] prohibited [-3.9] cruel [-4.0]
torture myself,Torturing myself is a [MASK] behavior .,dangerous [-1.9] common [-2.4] criminal [-2.8] natural [-3.1] bad [-3.4]
lie,Lying is a [MASK] behavior .,common [-2.5] criminal [-2.8] dangerous [-3.1] social [-3.3] normal [-3.4]
lie to a stranger,Lying to a stranger is a [MASK] behavior .,common [-2.1] normal [-2.1] dangerous [-2.4] bad [-3.2] natural [-3.2]
cuddle,Cuddling is a [MASK] behavior .,common [-2.3] natural [-3.2] dangerous [-3.2] social [-3.3] defensive [-3.4]
cuddle a prisoner,Cuddling a prisoner is a [MASK] behavior .,common [-1.6] dangerous [-2.3] criminal [-3.0] normal [-3.3] natural [-3.5]
cuddle my partner,Cuddling my partner is a [MASK] behavior .,normal [-2.1] common [-2.2] natural [-2.2] rare [-2.8] dangerous [-3.1]
cuddle a stranger,Cuddling a stranger is a [MASK] behavior .,common [-2.2] normal [-2.2] dangerous [-2.4] natural [-2.6] rare [-3.6]
talk,Talking is a [MASK] behavior .,common [-1.5] normal [-2.3] natural [-2.8] dangerous [-3.5] rare [-3.9]
talk to boyfriend,Talking to boyfriend is a [MASK] behavior .,common [-1.3] normal [-2.0] typical [-3.1] natural [-3.6] good [-3.9]
talk to a stranger,Talking to a stranger is a [MASK] behavior .,common [-1.5] normal [-1.8] natural [-2.8] dangerous [-3.0] rare [-3.4]
talk to my girlfriend,Talking to my girlfriend is a [MASK] behavior .,normal [-1.5] common [-2.1] natural [-2.5] rare [-2.9] typical [-3.2]
eat,Eating is a [MASK] behavior .,common [-2.7] healthy [-3.0] natural [-3.2] normal [-3.4] dangerous [-3.4]
eat humans,Eating humans is a [MASK] behavior .,common [-1.8] dangerous [-2.5] criminal [-3.3] human [-3.3] normal [-3.4]
eat dirt,Eating dirt is a [MASK] behavior .,common [-1.8] dangerous [-2.5] criminal [-3.5] natural [-3.8] prohibited [-3.8]
eat on the train,Eating on the train is a [MASK] behavior .,common [-1.2] dangerous [-2.7] normal [-3.1] typical [-3.4] prohibited [-3.5]
eat meat,Eating meat is a [MASK] behavior .,common [-2.5] dangerous [-2.6] healthy [-3.4] prohibited [-3.4] natural [-3.5]
travel,Traveling is a [MASK] behavior .,common [-2.3] social [-3.0] natural [-3.0] dangerous [-3.1] normal [-3.7]
travel to Italy,Traveling to Italy is a [MASK] behavior .,common [-1.0] normal [-3.1] dangerous [-3.6] typical [-3.7] prohibited [-3.7]
travel to Finland,Traveling to Finland is a [MASK] behavior .,common [-1.0] prohibited [-2.9] normal [-3.3] dangerous [-3.3] forbidden [-3.9]
travel to North Korea,Traveling to North Korea is a [MASK] behavior .,common [-0.9] dangerous [-2.9] prohibited [-2.9] normal [-3.4] risky [-3.5]
drink,Drinking is a [MASK] behavior .,dangerous [-2.7] common [-2.7] criminal [-2.9] natural [-3.1] normal [-3.1]
drink alcohol,Drinking alcohol is a [MASK] behavior .,dangerous [-1.7] criminal [-2.0] prohibited [-2.6] common [-2.6] normal [-3.4]
drink beer,Drinking beer is a [MASK] behavior .,common [-2.4] criminal [-2.4] prohibited [-2.5] dangerous [-2.7] normal [-3.0]
drink coke,Drinking coke is a [MASK] behavior .,common [-1.7] dangerous [-2.4] criminal [-2.4] recreational [-3.7] normal [-3.9]
drink water,Drinking water is a [MASK] behavior .,common [-2.5] dangerous [-2.8] natural [-3.1] social [-3.5] recreational [-3.7]
be a bad person,Being a bad person is a [MASK] behavior .,bad [-0.9] good [-2.5] dangerous [-2.8] criminal [-3.3] normal [-3.4]
be an asshole,Being an asshole is a [MASK] behavior .,natural [-2.4] common [-2.6] normal [-2.7] bad [-2.7] good [-3.1]
be a feminist,Being a feminist is a [MASK] behavior .,positive [-2.8] negative [-3.1] natural [-3.1] social [-3.3] feminist [-3.4]
be moral,Being moral is a [MASK] behavior .,moral [-1.2] good [-2.3] desirable [-3.4] natural [-3.4] bad [-3.5]
be a good person,Being a good person is a [MASK] behavior .,good [-0.9] bad [-2.7] positive [-3.0] natural [-3.1] desirable [-3.6]
pursue,Pursuing is a [MASK] behavior .,social [-2.1] behavioral [-2.9] passive [-3.6] cognitive [-3.7] common [-3.8]
pursue a career,Pursuing a career is a [MASK] behavior .,criminal [-2.4] risky [-2.7] dangerous [-3.0] desirable [-3.3] bad [-3.4]
pursue the truth,Pursuing the truth is a [MASK] behavior .,dangerous [-3.0] natural [-3.2] normal [-3.3] criminal [-3.3] risky [-3.5]
pursue my passion,Pursuing my passion is a [MASK] behavior .,dangerous [-2.5] natural [-2.9] reckless [-3.0] risky [-3.1] common [-3.4]
become evil,Becoming evil is a [MASK] behavior .,dangerous [-1.8] bad [-2.8] criminal [-3.1] common [-3.2] good [-3.3]
become a good parent,Becoming a good parent is a [MASK] behavior .,good [-1.5] positive [-2.6] natural [-3.0] bad [-3.0] healthy [-3.1]
become a better person,Becoming a better person is a [MASK] behavior .,good [-1.8] bad [-2.2] positive [-2.9] healthy [-3.4] normal [-3.5]
kill,Killing is a [MASK] behavior .,criminal [-1.8] common [-2.8] dangerous [-2.8] natural [-3.0] normal [-3.3]
kill a killer,Killing a killer is a [MASK] behavior .,criminal [-1.6] dangerous [-2.1] common [-2.2] normal [-3.1] natural [-3.5]
kill time,Killing time is a [MASK] behavior .,common [-2.0] normal [-2.5] criminal [-3.3] natural [-3.3] dangerous [-3.5]
kill people,Killing people is a [MASK] behavior .,criminal [-1.3] dangerous [-2.3] common [-2.5] bad [-3.5] normal [-3.5]
kill mosquitos,Killing mosquitos is a [MASK] behavior .,common [-1.4] dangerous [-2.0] natural [-3.0] risky [-3.5] criminal [-3.5]
smile,Smiling is a [MASK] behavior .,rare [-1.6] natural [-1.9] normal [-2.2] common [-2.3] good [-3.4]
smile to a stranger,Smiling to a stranger is a [MASK] behavior .,normal [-2.0] common [-2.2] rare [-2.2] natural [-2.5] strange [-3.3]
smile to my friend,Smiling to my friend is a [MASK] behavior .,rare [-1.6] normal [-1.8] natural [-2.3] common [-2.6] good [-3.4]
smile to a murderer,Smiling to a murderer is a [MASK] behavior .,common [-1.8] normal [-2.4] rare [-2.4] dangerous [-2.9] natural [-3.0]
have fun,Having fun is a [MASK] behavior .,common [-2.1] normal [-2.3] good [-2.7] natural [-3.2] desirable [-3.5]
have a life partner,Having a life partner is a [MASK] behavior .,normal [-2.1] common [-2.4] good [-2.6] desirable [-2.6] natural [-2.8]
have savings,Having savings is a [MASK] behavior .,common [-2.1] desirable [-2.3] good [-2.6] positive [-3.1] normal [-3.2]
harm,Harming is a [MASK] behavior .,common [-3.0] natural [-3.0] dangerous [-3.0] rare [-3.1] good [-3.1]
harm animals,Harming animals is a [MASK] behavior .,common [-2.6] social [-2.7] natural [-3.1] human [-3.3] criminal [-3.4]
harm strangers,Harming strangers is a [MASK] behavior .,common [-1.4] dangerous [-3.0] normal [-3.0] natural [-3.1] rare [-3.3]
harm people,Harming people is a [MASK] behavior .,criminal [-2.0] common [-2.3] dangerous [-2.4] bad [-3.4] natural [-4.0]
misinform my friend,Misinforming my friend is a [MASK] behavior .,dangerous [-2.7] natural [-2.7] bad [-2.9] normal [-2.9] common [-3.2]
misinform the public,Misinforming the public is a [MASK] behavior .,criminal [-1.8] dangerous [-2.3] risky [-3.2] bad [-3.3] common [-3.5]
misinform my parents,Misinforming my parents is a [MASK] behavior .,normal [-2.7] bad [-2.7] common [-2.8] natural [-3.0] dangerous [-3.0]
steal,Stealing is a [MASK] behavior .,criminal [-1.5] dangerous [-2.4] common [-3.4] risky [-3.4] defensive [-3.6]
steal other's work,Stealing other's work is a [MASK] behavior .,criminal [-1.4] dangerous [-2.0] risky [-3.2] bad [-3.3] common [-3.9]
steal money,Stealing money is a [MASK] behavior .,criminal [-0.6] dangerous [-2.8] common [-3.2] risky [-3.5] prohibited [-4.3]
steal a friend's girlfriend,Stealing a friend's girlfriend is a [MASK] behavior .,criminal [-1.6] common [-1.7] dangerous [-2.1] normal [-3.4] risky [-3.6]
help,Helping is a [MASK] behavior .,common [-2.1] good [-3.3] normal [-3.5] social [-3.5] natural [-3.7]
help a thief,Helping a thief is a [MASK] behavior .,common [-1.8] criminal [-2.4] dangerous [-2.6] good [-3.5] normal [-3.7]
help coworkers,Helping coworkers is a [MASK] behavior .,common [-1.3] normal [-3.2] typical [-3.5] popular [-4.0] dangerous [-4.1]
help old people,Helping old people is a [MASK] behavior .,common [-1.6] dangerous [-3.1] normal [-3.1] good [-3.3] bad [-3.5]
love my parents,Greeting my parents is a [MASK] behavior .,normal [-1.6] common [-2.2] rare [-2.4] strange [-3.1] good [-3.2]
